Frame_Index,Left_Line_X1,Left_Line_Y1,Left_Line_X2,Left_Line_Y2,Right_Line_X1,Right_Line_Y1,Right_Line_X2,Right_Line_Y2
0,-1,-1,-1,-1,1074,720,712,446
1,-1,-1,-1,-1,1053,720,731,446
2,-1,-1,-1,-1,1041,720,746,446
3,-1,-1,-1,-1,1040,720,746,446
4,-1,-1,-1,-1,1038,720,748,446
5,-1,-1,-1,-1,1038,720,749,446
6,-1,-1,-1,-1,1039,720,748,446
7,-1,-1,-1,-1,1040,720,747,446
8,-1,-1,-1,-1,1041,720,747,446
9,-1,-1,-1,-1,1042,720,746,446
10,-1,-1,-1,-1,1042,720,746,446
11,-1,-1,-1,-1,1042,720,746,446
12,-1,-1,-1,-1,1042,720,746,446
13,-1,-1,-1,-1,1042,720,746,446
14,-1,-1,-1,-1,1042,720,746,446
15,-1,-1,-1,-1,1040,720,745,446
16,-1,-1,-1,-1,1040,720,745,446
17,-1,-1,-1,-1,1042,720,743,446
18,-1,-1,-1,-1,1043,720,743,446
19,-1,-1,-1,-1,1043,720,743,446
20,-1,-1,-1,-1,1043,720,744,446
21,108,720,722,446,1042,720,744,446
22,108,720,722,446,1040,720,747,446
23,108,720,722,446,1040,720,746,446
24,108,720,722,446,1039,720,748,446
25,111,720,685,446,1038,720,750,446
26,111,720,685,446,1037,720,752,446
27,111,720,685,446,1037,720,752,446
28,111,720,685,446,1036,720,755,446
29,111,720,685,446,1037,720,755,446
30,111,720,685,446,1037,720,759,446
31,111,720,685,446,1037,720,761,446
32,111,720,685,446,1037,720,764,446
33,111,720,685,446,1038,720,762,446
34,111,720,685,446,1037,720,765,446
35,111,720,685,446,1037,720,769,446
36,111,720,685,446,1037,720,772,446
37,111,720,685,446,1039,720,775,446
38,111,720,685,446,1039,720,780,446
39,111,720,685,446,1041,720,782,446
40,111,720,685,446,1044,720,784,446
41,111,720,685,446,1045,720,786,446
42,111,720,685,446,1047,720,788,446
43,111,720,685,446,1051,720,787,446
44,111,720,685,446,1054,720,788,446
45,111,720,685,446,1056,720,786,446
46,111,720,685,446,1061,720,783,446
47,111,720,685,446,1065,720,778,446
48,111,720,685,446,1067,720,779,446
49,111,720,685,446,1073,720,776,446
50,111,720,685,446,1079,720,769,446
51,111,720,685,446,1086,720,762,446
52,111,720,685,446,1091,720,756,446
53,111,720,685,446,1098,720,746,446
54,111,720,685,446,1102,720,739,446
55,111,720,685,446,1106,720,732,446
56,111,720,685,446,1112,720,724,446
57,111,720,685,446,1116,720,716,446
58,111,720,685,446,1118,720,711,446
59,111,720,685,446,1121,720,704,446
60,111,720,685,446,1125,720,702,446
61,111,720,685,446,1126,720,700,446
62,111,720,685,446,1127,720,699,446
63,111,720,685,446,1128,720,698,446
64,111,720,685,446,1129,720,696,446
65,111,720,685,446,1129,720,697,446
66,111,720,685,446,1128,720,697,446
67,111,720,685,446,1129,720,695,446
68,111,720,685,446,1130,720,694,446
69,111,720,685,446,1130,720,695,446
70,111,720,685,446,1132,720,692,446
71,111,720,685,446,1133,720,691,446
72,111,720,685,446,1133,720,692,446
73,111,720,685,446,1132,720,692,446
74,111,720,685,446,1131,720,694,446
75,111,720,685,446,1129,720,694,446
76,111,720,685,446,1129,720,693,446
77,111,720,685,446,1129,720,693,446
78,111,720,685,446,1130,720,690,446
79,111,720,685,446,1127,720,691,446
80,111,720,685,446,1122,720,699,446
81,111,720,685,446,1121,720,701,446
82,111,720,685,446,1120,720,702,446
83,111,720,685,446,1117,720,706,446
84,111,720,685,446,1116,720,704,446
85,111,720,685,446,1113,720,708,446
86,111,720,685,446,1110,720,713,446
87,111,720,685,446,1111,720,712,446
88,111,720,685,446,1109,720,714,446
89,111,720,685,446,1107,720,717,446
90,111,720,685,446,1106,720,721,446
91,111,720,685,446,1104,720,722,446
92,117,720,645,446,1102,720,724,446
93,122,720,622,446,1100,720,728,446
94,130,720,603,446,1101,720,728,446
95,130,720,603,446,1104,720,722,446
96,128,720,606,446,1102,720,723,446
97,128,720,606,446,1100,720,724,446
98,128,720,606,446,1101,720,719,446
99,128,720,606,446,1102,720,720,446
100,134,720,591,446,1103,720,716,446
101,134,720,591,446,1103,720,713,446
102,136,720,586,446,1102,720,712,446
103,138,720,581,446,1102,720,709,446
104,137,720,580,446,1102,720,707,446
105,134,720,586,446,1102,720,701,446
106,132,720,589,446,1101,720,703,446
107,132,720,590,446,1100,720,700,446
108,129,720,596,446,1102,720,687,446
109,128,720,598,446,1098,720,691,446
110,128,720,598,446,1096,720,694,446
111,128,720,598,446,1095,720,691,446
112,130,720,589,446,1095,720,678,446
113,131,720,598,446,1095,720,678,446
114,131,720,598,446,1095,720,678,446
115,131,720,598,446,1099,720,680,446
116,131,720,598,446,1099,720,683,446
117,131,720,598,446,1104,720,683,446
118,131,720,598,446,1107,720,681,446
119,132,720,600,446,1108,720,682,446
120,132,720,600,446,1111,720,683,446
121,132,720,600,446,1114,720,682,446
122,132,720,600,446,1117,720,686,446
123,132,720,600,446,1121,720,684,446
124,132,720,600,446,1123,720,687,446
125,132,720,600,446,1121,720,695,446
126,132,720,600,446,1128,720,690,446
127,130,720,611,446,1134,720,686,446
128,130,720,611,446,1138,720,686,446
129,130,720,611,446,1138,720,699,446
130,130,720,611,446,1134,720,701,446
131,130,720,611,446,1133,720,701,446
132,130,720,611,446,1129,720,702,446
133,130,720,611,446,1125,720,704,446
134,130,720,611,446,1120,720,709,446
135,130,720,611,446,1115,720,712,446
136,130,720,611,446,1111,720,715,446
137,130,720,611,446,1109,720,714,446
138,126,720,624,446,1108,720,714,446
139,126,720,624,446,1106,720,715,446
140,126,720,624,446,1105,720,718,446
141,126,720,624,446,1102,720,718,446
142,125,720,632,446,1099,720,720,446
143,125,720,632,446,1094,720,723,446
144,125,720,632,446,1093,720,723,446
145,125,720,632,446,1090,720,725,446
146,125,720,632,446,1087,720,727,446
147,125,720,632,446,1082,720,731,446
148,125,720,632,446,1082,720,730,446
149,125,720,632,446,1085,720,727,446
150,125,720,632,446,1086,720,726,446
151,125,720,632,446,1085,720,726,446
152,125,720,632,446,1080,720,731,446
153,125,720,632,446,1079,720,732,446
154,125,720,632,446,1078,720,733,446
155,125,720,632,446,1075,720,737,446
156,125,720,632,446,1074,720,740,446
157,125,720,632,446,1073,720,741,446
158,125,720,632,446,1073,720,743,446
159,125,720,632,446,1073,720,742,446
160,125,720,632,446,1073,720,743,446
161,125,720,632,446,1073,720,746,446
162,125,720,632,446,1074,720,746,446
163,125,720,632,446,1073,720,748,446
164,125,720,632,446,1072,720,751,446
165,125,720,632,446,1071,720,753,446
166,125,720,632,446,1072,720,755,446
167,125,720,632,446,1075,720,753,446
168,125,720,632,446,1075,720,753,446
169,125,720,632,446,1077,720,752,446
170,125,720,632,446,1081,720,750,446
171,125,720,632,446,1082,720,747,446
172,125,720,632,446,1085,720,745,446
173,125,720,632,446,1087,720,745,446
174,125,720,632,446,1088,720,746,446
175,125,720,632,446,1090,720,744,446
176,125,720,632,446,1093,720,741,446
177,125,720,632,446,1095,720,739,446
178,125,720,632,446,1098,720,735,446
179,125,720,632,446,1099,720,735,446
180,125,720,632,446,1101,720,736,446
181,125,720,632,446,1103,720,735,446
182,125,720,632,446,1103,720,736,446
183,125,720,632,446,1103,720,739,446
184,125,720,632,446,1103,720,741,446
185,125,720,632,446,1103,720,741,446
186,125,720,632,446,1103,720,743,446
187,125,720,632,446,1102,720,747,446
188,125,720,632,446,1102,720,747,446
189,125,720,632,446,1098,720,745,446
190,125,720,632,446,1098,720,746,446
191,125,720,632,446,1096,720,750,446
192,125,720,632,446,1095,720,743,446
193,125,720,632,446,1096,720,743,446
194,125,720,632,446,1094,720,738,446
195,125,720,632,446,1092,720,740,446
196,125,720,632,446,1088,720,734,446
197,125,720,632,446,1088,720,734,446
198,125,720,632,446,1087,720,738,446
199,125,720,632,446,1088,720,736,446
200,125,720,632,446,1087,720,739,446
201,125,720,632,446,1086,720,733,446
202,125,720,632,446,1086,720,734,446
203,125,720,632,446,1088,720,732,446
204,125,720,632,446,1090,720,731,446
205,125,720,632,446,1094,720,736,446
206,125,720,632,446,1094,720,741,446
207,125,720,632,446,1095,720,742,446
208,125,720,632,446,1098,720,751,446
209,125,720,632,446,1097,720,752,446
