Frame_Index,X,Y,Radius
0,560,146,144
1,562,142,138
2,560,146,140
3,558,146,140
4,558,146,140
5,558,146,140
6,558,148,140
7,556,146,142
8,558,144,142
9,558,144,142
10,558,144,142
11,558,144,142
12,556,144,144
13,556,146,144
14,556,146,144
15,558,148,142
16,558,148,142
17,560,148,140
18,560,150,142
19,560,150,142
20,560,150,142
21,562,150,144
22,564,152,142
23,564,152,142
24,566,156,142
25,566,164,142
26,568,176,142
27,568,192,144
28,570,212,144
29,572,232,144
30,574,252,144
31,574,272,144
32,574,294,142
33,570,312,142
34,568,326,140
35,566,340,140
36,564,344,140
37,562,342,140
38,562,340,140
39,562,338,140
40,564,336,138
41,568,338,138
42,570,344,138
43,572,354,138
44,574,366,138
45,574,382,138
46,572,402,138
47,572,422,136
48,572,442,136
49,572,460,136
50,574,474,134
51,574,486,136
52,576,496,136
53,578,506,134
54,578,516,134
55,578,526,134
56,578,534,132
57,574,540,132
58,572,548,130
59,570,554,130
60,568,556,130
61,570,560,130
62,570,562,130
63,572,562,130
64,576,560,130
65,576,560,130
66,576,554,130
67,574,548,128
68,570,540,130
69,566,532,128
70,564,524,130
71,564,518,130
72,564,510,130
73,564,504,130
74,562,500,132
75,564,494,132
76,562,490,132
77,560,488,132
78,560,486,132
79,562,484,130
80,562,486,130
81,562,488,130
82,564,494,130
83,562,498,128
84,560,506,130
85,558,514,130
86,556,522,130
87,554,528,130
88,554,534,132
89,554,540,132
90,554,542,134
91,554,546,134
92,554,548,134
93,554,548,132
94,552,548,134
95,552,544,134
96,550,540,134
97,550,534,134
98,552,526,134
99,552,518,132
100,552,514,134
101,552,512,134
102,550,514,132
103,550,516,134
104,550,520,132
105,550,524,132
106,550,526,132
107,550,530,132
108,550,534,132
109,548,538,132
110,548,540,132
111,548,542,130
112,548,544,130
113,548,546,130
114,548,546,130
115,548,546,130
116,548,544,130
117,550,544,132
118,550,540,132
119,550,536,132
120,552,528,132
121,550,522,130
122,550,514,128
123,550,508,128
124,550,502,128
125,550,496,128
126,554,492,128
127,554,488,128
128,558,482,126
129,558,478,126
130,558,474,126
131,558,472,126
132,558,468,124
133,556,468,126
134,558,466,126
135,558,464,126
136,560,462,126
137,560,460,126
138,560,458,124
139,558,454,126
140,560,452,124
141,560,450,124
142,562,448,126
143,564,446,126
144,564,444,124
145,566,442,124
146,566,440,126
147,566,438,126
148,566,436,126
149,566,434,126
150,566,430,126
151,568,426,126
152,568,422,126
153,568,418,126
154,568,416,126
155,570,412,126
156,572,410,126
157,572,408,126
158,574,406,126
159,574,406,126
160,576,406,126
161,576,406,126
162,576,408,126
163,576,410,126
164,578,412,126
165,578,414,126
166,580,416,126
167,580,418,126
168,582,418,126
169,582,420,126
170,582,422,126
171,582,422,126
172,582,422,126
173,582,424,126
174,582,424,128
175,582,426,128
176,582,426,126
177,584,428,128
178,584,428,126
179,586,428,126
180,588,426,126
181,588,426,126
182,588,424,126
183,590,422,126
184,590,422,128
185,592,424,126
186,592,424,126
187,594,424,126
188,594,424,126
189,558,418,160
190,558,418,160
191,558,420,160
192,558,422,160
193,560,426,160
194,596,434,126
195,598,438,124
196,598,442,124
197,598,444,124
198,600,450,126
199,600,454,126
200,600,462,126
201,602,468,126
202,602,476,126
203,602,482,124
204,600,488,124
205,600,494,124
206,600,502,124
207,600,508,124
208,602,516,124
209,602,522,124
210,602,530,124
211,602,536,124
212,602,542,124
213,600,546,124
214,602,550,124
215,602,556,124
216,602,560,124
217,604,562,124
218,604,564,124
219,606,564,124
220,606,562,124
221,608,558,122
222,608,558,122
223,608,558,122
224,608,556,122
225,608,556,120
226,608,556,120
227,608,554,120
