Frame_Index,X,Y,Radius
0,142,717,149
1,142,717,149
2,142,716,149
3,143,717,149
4,143,717,149
5,146,724,148
6,143,716,149
7,142,717,149
8,142,716,149
9,145,723,148
10,146,723,148
11,146,724,149
12,145,716,149
13,149,721,149
14,146,713,149
15,146,713,149
16,148,713,149
17,149,712,149
18,152,719,148
19,152,712,149
20,153,718,148
21,153,717,147
22,152,710,149
23,157,710,149
24,170,709,149
25,193,711,145
26,215,705,148
27,236,707,144
28,259,707,144
29,278,707,144
30,298,709,143
31,320,706,148
32,335,711,143
33,346,712,143
34,353,713,144
35,346,715,143
36,339,716,141
37,332,717,141
38,329,715,143
39,338,710,142
40,346,705,143
41,355,701,144
42,365,700,144
43,379,707,145
44,400,706,141
45,431,704,148
46,449,706,141
47,467,704,143
48,481,709,141
49,487,703,140
50,494,703,139
51,506,698,139
52,518,697,139
53,529,693,143
54,537,700,139
55,549,703,140
56,553,710,135
57,556,709,137
58,559,711,136
59,557,711,137
60,561,711,136
61,562,705,137
62,568,698,140
63,567,695,141
64,560,701,136
65,547,703,136
66,538,709,139
67,527,716,136
68,521,719,135
69,518,716,135
70,512,717,136
71,507,711,135
72,500,709,137
73,494,710,137
74,488,712,136
75,484,715,139
76,491,718,139
77,484,719,139
78,484,715,136
79,488,715,136
80,495,718,139
81,500,719,136
82,512,721,137
83,520,721,137
84,527,723,137
85,529,722,137
86,535,722,137
87,541,722,143
88,544,724,141
89,547,723,135
90,551,722,137
91,550,724,136
92,550,725,136
93,548,729,135
94,543,728,136
95,536,728,136
96,526,727,135
97,514,725,137
98,512,725,136
99,511,724,137
100,513,729,135
101,519,729,136
102,523,730,136
103,525,729,136
104,529,730,137
105,530,724,140
106,533,730,135
107,536,729,136
108,542,733,139
109,547,733,136
110,547,733,135
111,547,731,133
112,547,730,133
113,549,730,133
114,548,730,134
115,545,730,133
116,541,730,135
117,537,729,133
118,530,730,133
119,525,729,135
120,519,729,135
121,509,729,131
122,505,727,132
123,500,727,130
124,494,724,131
125,488,727,130
126,481,727,129
127,475,724,130
128,473,722,131
129,472,722,131
130,472,723,130
131,471,716,135
132,469,716,135
133,465,721,129
134,463,718,128
135,464,721,131
136,463,721,132
137,459,721,132
138,453,717,129
139,453,716,129
140,451,715,129
141,449,711,133
142,445,712,129
143,443,713,129
144,440,713,128
145,439,712,129
146,442,713,132
147,436,713,130
148,433,712,130
149,428,711,129
150,421,711,131
151,423,712,132
152,415,709,131
153,415,709,129
154,413,709,131
155,406,701,135
156,407,704,130
157,406,705,131
158,405,707,133
159,406,704,131
160,407,703,137
161,411,703,131
162,415,701,131
163,416,700,130
164,417,698,137
165,419,699,131
166,419,698,129
167,421,699,132
168,418,693,135
169,419,692,134
170,424,695,129
171,419,691,135
172,423,697,129
173,424,697,129
174,427,695,129
175,428,694,130
176,431,693,130
177,431,693,129
178,429,693,130
179,425,692,130
180,422,691,130
181,417,688,133
182,422,685,135
183,423,687,129
184,423,688,132
185,428,687,131
186,424,685,129
187,421,686,132
188,423,682,128
189,425,683,130
190,428,679,133
191,429,683,128
192,433,681,129
193,436,680,131
194,440,682,128
195,443,679,129
196,452,675,132
197,457,681,129
198,461,680,127
199,469,674,131
200,477,679,127
201,484,676,133
202,489,680,128
203,495,679,126
204,499,679,135
205,509,681,129
206,518,680,127
207,526,680,127
208,532,680,127
209,541,676,131
210,538,674,129
211,544,680,124
212,548,680,124
213,554,673,131
214,556,674,128
215,567,676,126
216,562,673,128
217,566,675,126
218,561,669,131
219,560,673,127
220,560,671,125
221,555,668,127
222,559,669,131
223,559,670,126
224,557,669,125
225,555,668,124
226,551,668,123
227,551,665,124
