Frame_Index,X,Y,Radius
0,142,717,149
1,143,723,147
2,143,717,149
3,143,717,149
4,143,716,149
5,143,717,149
6,143,717,149
7,145,724,148
8,145,724,148
9,147,719,144
10,146,723,148
11,145,716,149
12,145,715,149
13,146,719,145
14,145,713,149
15,146,715,149
16,149,712,149
17,151,712,149
18,151,713,149
19,152,721,149
20,152,711,149
21,152,712,149
22,154,716,147
23,158,718,148
24,171,710,148
25,191,707,149
26,213,705,148
27,236,707,144
28,255,707,144
29,274,709,144
30,296,709,143
31,317,713,140
32,340,711,146
33,347,712,143
34,350,713,143
35,346,715,143
36,339,716,141
37,331,717,143
38,331,715,143
39,337,710,143
40,346,705,143
41,356,704,141
42,365,701,143
43,375,701,143
44,401,706,141
45,422,706,145
46,449,706,141
47,470,707,140
48,479,709,140
49,485,703,140
50,496,704,141
51,505,699,138
52,518,697,139
53,529,699,139
54,536,699,137
55,544,700,136
56,550,712,136
57,556,707,136
58,557,712,136
59,557,711,137
60,559,711,137
61,563,706,137
62,567,700,137
63,567,700,136
64,560,701,136
65,547,703,135
66,536,710,136
67,529,715,136
68,521,717,136
69,523,721,141
70,511,716,137
71,506,712,136
72,499,711,136
73,493,709,137
74,489,712,136
75,487,716,136
76,488,718,136
77,490,716,140
78,487,715,136
79,488,716,136
80,491,716,136
81,501,718,136
82,511,719,136
83,520,722,137
84,527,723,137
85,529,722,137
86,536,724,135
87,541,722,143
88,545,722,135
89,549,727,139
90,549,723,136
91,550,725,135
92,549,725,136
93,547,727,137
94,543,728,136
95,532,728,137
96,525,728,136
97,515,727,136
98,512,724,137
99,511,725,137
100,517,725,140
101,518,728,136
102,525,729,139
103,524,730,136
104,527,730,136
105,532,727,139
106,533,730,135
107,539,729,142
108,544,731,135
109,548,733,136
110,545,731,133
111,547,730,133
112,548,730,133
113,548,730,133
114,547,731,134
115,544,731,133
116,542,730,133
117,537,730,134
118,529,729,134
119,523,729,133
120,515,727,132
121,509,729,131
122,505,727,132
123,500,725,132
124,493,723,132
125,489,725,131
126,481,724,130
127,475,725,129
128,472,719,135
129,473,725,127
130,475,718,134
131,471,716,134
132,467,719,131
133,465,724,125
134,461,719,127
135,463,721,130
136,459,718,128
137,455,719,128
138,455,719,138
139,452,715,130
140,451,716,128
141,447,713,130
142,443,715,129
143,442,713,128
144,440,713,129
145,440,712,129
146,437,713,129
147,436,712,130
148,433,713,129
149,428,713,131
150,422,712,129
151,418,710,131
152,412,707,133
153,417,712,132
154,413,707,130
155,407,706,128
156,407,704,130
157,410,701,135
158,407,705,130
159,406,705,131
160,406,704,131
161,410,703,130
162,416,703,132
163,417,700,131
164,418,699,131
165,417,700,129
166,419,699,131
167,419,699,131
168,418,693,135
169,419,692,134
170,425,694,128
171,423,697,129
172,422,697,129
173,424,697,129
174,424,692,133
175,431,695,132
176,433,694,129
177,431,693,130
178,428,693,129
179,425,691,130
180,422,689,130
181,423,689,132
182,421,689,129
183,422,687,129
184,422,685,131
185,424,687,128
186,427,683,128
187,425,685,130
188,424,685,131
189,424,681,128
190,423,681,131
191,430,683,128
192,433,680,129
193,442,686,132
194,440,681,129
195,443,679,129
196,446,676,132
197,455,679,128
198,458,675,132
199,471,682,130
200,479,681,129
201,487,675,132
202,489,680,127
203,495,680,127
204,503,681,129
205,506,679,128
206,518,679,127
207,525,681,127
208,532,680,127
209,541,676,131
210,544,677,127
211,547,679,127
212,549,679,125
213,556,676,127
214,562,677,127
215,565,679,127
216,562,673,128
217,567,676,128
218,562,674,127
219,559,670,124
220,553,668,128
221,554,667,128
222,557,670,125
223,559,670,126
224,554,668,128
225,555,670,123
226,553,667,124
227,551,665,124
