Frame_Index,X,Y,Radius
0,558,145,145
1,558,140,140
2,558,140,140
3,558,145,140
4,558,145,145
5,554,145,149
6,558,145,145
7,554,145,149
8,558,140,140
9,558,145,140
10,554,145,149
11,558,145,145
12,558,145,145
13,558,145,145
14,558,145,145
15,558,145,145
16,558,145,145
17,567,149,145
18,558,149,149
19,558,149,149
20,567,149,145
21,567,149,145
22,567,149,145
23,567,157,145
24,567,170,145
25,567,192,149
26,571,213,145
27,576,234,140
28,576,251,145
29,576,273,140
30,,,
31,,,
32,567,337,140
33,567,345,140
34,,,
35,558,341,140
36,567,328,140
37,558,328,140
38,567,324,140
39,571,337,145
40,576,345,140
41,576,349,140
42,580,366,140
43,576,375,140
44,,,
45,571,426,140
46,576,448,140
47,,,
48,,,
49,,,
50,576,494,140
51,,,
52,,,
53,,,
54,580,533,136
55,,,
56,,,
57,,,
58,567,554,136
59,567,554,136
60,,,
61,576,558,140
62,580,567,136
63,580,567,140
64,580,554,140
65,576,541,136
66,571,533,136
67,567,524,136
68,567,520,140
69,,,
70,,,
71,,,
72,,,
73,,,
74,,,
75,567,477,136
76,,,
77,558,477,132
78,,,
79,567,482,136
80,,,
81,558,499,136
82,,,
83,558,516,132
84,554,520,132
85,554,524,132
86,550,529,128
87,554,541,136
88,,,
89,550,541,132
90,554,546,136
91,554,546,136
92,554,546,136
93,,,
94,554,541,136
95,550,529,136
96,550,520,132
97,550,507,132
98,554,507,140
99,546,499,153
100,,,
101,550,516,136
102,550,520,136
103,550,516,132
104,550,524,136
105,550,529,136
106,554,529,132
107,,,
108,550,541,132
109,550,546,136
110,550,541,132
111,550,546,136
112,550,541,132
113,550,546,132
114,550,546,132
115,546,541,128
116,550,541,136
117,550,533,136
118,550,529,132
119,550,520,132
120,,,
121,550,503,128
122,554,503,128
123,554,494,132
124,,,
125,550,482,128
126,554,473,128
127,554,473,128
128,558,469,128
129,554,469,132
130,,,
131,,,
132,558,465,128
133,558,465,128
134,,,
135,558,456,128
136,558,456,132
137,,,
138,558,452,128
139,567,452,128
140,554,443,136
141,567,443,128
142,567,439,123
143,,,
144,,,
145,,,
146,,,
147,,,
148,558,426,136
149,,,
150,571,418,132
151,571,418,132
152,,,
153,571,413,128
154,,,
155,571,405,123
156,567,401,140
157,576,405,128
158,576,405,128
159,576,405,128
160,576,405,132
161,,,
162,,,
163,580,413,128
164,,,
165,,,
166,580,418,132
167,,,
168,584,422,128
169,,,
170,,,
171,580,422,128
172,,,
173,,,
174,576,418,140
175,580,422,123
176,580,426,123
177,584,426,128
178,593,426,128
179,593,422,128
180,593,418,128
181,593,418,132
182,,,
183,,,
184,,,
185,,,
186,597,422,132
187,601,422,128
188,593,418,136
189,601,422,128
190,593,418,140
191,593,422,140
192,601,430,128
193,601,439,128
194,601,439,128
195,597,439,123
196,,,
197,,,
198,601,452,123
199,,,
200,,,
201,,,
202,,,
203,,,
204,,,
205,,,
206,601,516,128
207,,,
208,,,
209,601,533,128
210,,,
211,601,541,123
212,,,
213,,,
214,601,554,128
215,,,
216,,,
217,605,558,123
218,,,
219,605,554,128
220,610,554,123
221,610,554,123
222,605,554,128
223,605,554,123
224,610,554,123
225,,,
226,,,
227,,,
